0 ##VIDEO STARTED					Positive	Positive_Smooth	Negative	Negative_Onset	Mixed	Mixed_Onset
226.538258 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
229.433264 ##DATA UPLOADING					0	0	0	0	1	1
229.635602 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
232.623156 ##DATA UPLOADING					0	0	0	0	1	1
232.89777 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
235.813254 ##DATA UPLOADING					0	0	0	0	1	1
236.01828 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
238.997227 ##DATA UPLOADING					0	0	0	0	1	1
239.290334 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
242.184029 ##DATA UPLOADING					0	0	0	0	1	1
242.39397 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
245.373736 ##DATA UPLOADING					0	0	0	0	1	1
245.675227 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
248.56168 ##DATA UPLOADING					0	0	0	0	1	1
248.765085 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
251.747973 ##DATA UPLOADING					0	0	0	0	1	1
252.051955 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
254.93395 ##DATA UPLOADING					0	0	0	0	1	1
255.142294 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
258.124294 ##DATA UPLOADING					0	0	0	0	1	1
258.417348 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
261.31298 ##DATA UPLOADING					0	0	0	0	1	1
261.518996 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
264.497856 ##DATA UPLOADING					0	0	0	0	1	1
264.556806 Crying On					0	0	0	0	1	1
264.798622 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
267.684317 ##DATA UPLOADING					0	0	0	0	1	1
267.88295 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
270.87412 ##DATA UPLOADING					0	0	0	0	1	1
271.160941 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
274.064366 ##DATA UPLOADING					0	0	0	0	1	1
274.275278 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
277.248279 ##DATA UPLOADING					0	0	0	0	1	1
277.55623 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
280.434429 ##DATA UPLOADING					0	0	0	0	1	1
280.638191 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
283.623903 ##DATA UPLOADING					0	0	0	0	1	1
283.923958 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
286.814655 ##DATA UPLOADING					0	0	0	0	1	1
287.015439 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
289.998459 ##DATA UPLOADING					0	0	0	0	1	1
290.276733 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
293.184642 ##DATA UPLOADING					0	0	0	0	1	1
293.394398 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
296.374005 ##DATA UPLOADING					0	0	0	0	1	1
296.680008 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
299.564941 ##DATA UPLOADING					0	0	0	0	1	1
299.771272 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
302.748946 ##DATA UPLOADING					0	0	0	0	1	1
303.060551 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
305.937923 ##DATA UPLOADING					0	0	0	0	1	1
306.146508 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
309.125723 ##DATA UPLOADING					0	0	0	0	1	1
309.423693 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
312.313857 ##DATA UPLOADING					0	0	0	0	1	1
312.51603 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
314.949145 Crying Off					0	0	0	0	1	1
315.498996 ##DATA UPLOADING					0	0	0	0	1	1
315.807743 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
318.685682 ##DATA UPLOADING					0	0	0	0	1	1
318.939072 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
321.874536 ##DATA UPLOADING					0	0	0	0	1	1
322.067848 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
325.0628 ##DATA UPLOADING					0	0	0	0	1	1
325.313713 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
328.249401 ##DATA UPLOADING					0	0	0	0	1	1
328.446891 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
331.435666 ##DATA UPLOADING					0	0	0	0	1	1
331.7458 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
334.625409 ##DATA UPLOADING					0	0	0	0	1	1
334.831554 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
335.735785 Crying On					0	0	0	0	1	1
337.815236 ##DATA UPLOADING					0	0	0	0	1	1
338.075646 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
341.000444 ##DATA UPLOADING					0	0	0	0	1	1
341.188502 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
344.189296 ##DATA UPLOADING					0	0	0	0	1	1
344.45063 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
347.375871 ##DATA UPLOADING					0	0	0	0	1	1
347.581669 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
350.564281 ##DATA UPLOADING					0	0	0	0	1	1
350.856423 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
353.749425 ##DATA UPLOADING					0	0	0	0	1	1
