0 ##VIDEO STARTED					Positive	Positive_Smooth	Negative	Negative_Smooth	Mixed	Mixed_Smooth
309.433681 ##DATA UPLOAD SUCCESS					1					
312.310451 ##DATA UPLOADING					1					
312.507446 ##DATA UPLOAD SUCCESS					1					
315.495963 ##DATA UPLOADING					1					
315.799221 ##DATA UPLOAD SUCCESS					1					
318.688753 ##DATA UPLOADING					1					
318.953285 ##DATA UPLOAD SUCCESS					1					
321.867901 ##DATA UPLOADING					1					
322.090219 ##DATA UPLOAD SUCCESS					1					
325.05864 ##DATA UPLOADING					1					
325.336036 ##DATA UPLOAD SUCCESS					1					
328.247995 ##DATA UPLOADING					1					
328.447693 ##DATA UPLOAD SUCCESS					1					
331.438018 ##DATA UPLOADING					1					
331.705916 ##DATA UPLOAD SUCCESS					1					
334.61716 ##DATA UPLOADING					1					
334.827871 ##DATA UPLOAD SUCCESS					1					
337.812515 ##DATA UPLOADING					1					
338.067899 ##DATA UPLOAD SUCCESS					1					
340.998302 ##DATA UPLOADING					1					
341.194642 ##DATA UPLOAD SUCCESS					1					
344.178417 ##DATA UPLOADING					1					
344.449997 ##DATA UPLOAD SUCCESS					1					
346.214619 Crying Off					1					
347.37272 ##DATA UPLOADING					1					
347.589952 ##DATA UPLOAD SUCCESS					1					
350.565121 ##DATA UPLOADING					1					
350.877024 ##DATA UPLOAD SUCCESS					1					
353.751726 ##DATA UPLOADING					1					
353.940565 ##DATA UPLOAD SUCCESS					1					
356.928558 ##DATA UPLOADING					1					
356.97085 Crying On					1					
357.241865 ##DATA UPLOAD SUCCESS					1					
360.121868 ##DATA UPLOADING					1					
360.329812 ##DATA UPLOAD SUCCESS					1					
363.314609 ##DATA UPLOADING					1					
363.570238 ##DATA UPLOAD SUCCESS					1					
365.497254 Crying Off					1					
366.49253 ##DATA UPLOADING					1					
366.713697 ##DATA UPLOAD SUCCESS					1					
369.680436 ##DATA UPLOADING					1					
369.980717 ##DATA UPLOAD SUCCESS					1					
372.872369 ##DATA UPLOADING					1					
373.09314 ##DATA UPLOAD SUCCESS					1					
376.067386 ##DATA UPLOADING					1					
376.39114 ##DATA UPLOAD SUCCESS					1					
379.240529 ##DATA UPLOADING					1					
379.474543 ##DATA UPLOAD SUCCESS					1					
382.435189 ##DATA UPLOADING					1					
382.772619 ##DATA UPLOAD SUCCESS					1					
385.622319 ##DATA UPLOADING					1					
385.824066 ##DATA UPLOAD SUCCESS					1					
388.807008 ##DATA UPLOADING					1					
389.121395 ##DATA UPLOAD SUCCESS					1					
391.99248 ##DATA UPLOADING					1					
392.211911 ##DATA UPLOAD SUCCESS					1					
395.182581 ##DATA UPLOADING					1					
395.48837 ##DATA UPLOAD SUCCESS					1					
398.376782 ##DATA UPLOADING					1					
398.566454 ##DATA UPLOAD SUCCESS					1					
401.556999 ##DATA UPLOADING					1					
401.850458 ##DATA UPLOAD SUCCESS					1					
404.746524 ##DATA UPLOADING					1					
404.961288 ##DATA UPLOAD SUCCESS					1					
407.93492 ##DATA UPLOADING					1					
408.242949 ##DATA UPLOAD SUCCESS					1					
411.124366 ##DATA UPLOADING					1					
411.329276 ##DATA UPLOAD SUCCESS					1					
412.006176 Crying On					1					
414.309013 ##DATA UPLOADING					1					
415.075072 ##DATA UPLOAD SUCCESS					1					
417.494554 ##DATA UPLOADING					1					
417.710654 ##DATA UPLOAD SUCCESS					1					
420.686563 ##DATA UPLOADING					1					
420.978905 ##DATA UPLOAD SUCCESS					1					
423.868067 ##DATA UPLOADING					1					
424.125772 ##DATA UPLOAD SUCCESS					1					
425.844669 Crying Off					1					
427.061086 ##DATA UPLOADING					1					
427.413046 ##DATA UPLOAD SUCCESS					1					
430.246576 ##DATA UPLOADING					1					
430.447309 ##DATA UPLOAD SUCCESS					1					
433.436615 ##DATA UPLOADING					1					
433.72646 ##DATA UPLOAD SUCCESS					1					
436.472673 Crying On					1					
436.616413 ##DATA UPLOADING					1					
436.855702 ##DATA UPLOAD SUCCESS					1					
439.811218 ##DATA UPLOADING					1					
440.11389 ##DATA UPLOAD SUCCESS					1					
442.996719 ##DATA UPLOADING					1					
443.194424 ##DATA UPLOAD SUCCESS					1					
446.188553 ##DATA UPLOADING					1					
446.475621 ##DATA UPLOAD SUCCESS					1					
449.368691 ##DATA UPLOADING					1					
449.599905 ##DATA UPLOAD SUCCESS					1					
452.562984 ##DATA UPLOADING					1					
452.86847 ##DATA UPLOAD SUCCESS					1					
455.750341 ##DATA UPLOADING					1					
455.940922 ##DATA UPLOAD SUCCESS					1					
458.938611 ##DATA UPLOADING					1					
459.233811 ##DATA UPLOAD SUCCESS					1					
460.020522 Crying Off					1					
460.056961 ##VIDEO PAUSED					1					
460.056961 ##VIDEO ENDED					1					
