0 ##VIDEO STARTED				Positive	Positive_Smooth	Negative	Negative_Smooth	Mixed	Mixed_Smooth
286.801008 ##DATA UPLOADING				0	0	1	1	0	0
287.073092 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
289.977621 ##DATA UPLOADING				0	0	1	1	0	0
290.192349 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
293.169694 ##DATA UPLOADING				0	0	1	1	0	0
293.482169 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
296.361509 ##DATA UPLOADING				0	0	1	1	0	0
296.547779 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
299.553846 ##DATA UPLOADING				0	0	1	1	0	0
299.829768 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
302.729005 ##DATA UPLOADING				0	0	1	1	0	0
302.955909 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
305.921524 ##DATA UPLOADING				0	0	1	1	0	0
306.229741 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
309.111473 ##DATA UPLOADING				0	0	1	1	0	0
309.310659 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
312.294085 ##DATA UPLOADING				0	0	1	1	0	0
312.622649 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
315.481324 ##DATA UPLOADING				0	0	1	0.833333333	0	0
315.689062 ##DATA UPLOAD SUCCESS				0	0.166666667	1	0.666666667	0	0
317.300642 Negative Off				0	0.333333333	0	0.5	0	0
318.18803 Positive On				1	0.5	0	0.333333333	0	0
318.674233 ##DATA UPLOADING				1	0.5	0	0.166666667	0	0.166666667
318.950575 ##DATA UPLOAD SUCCESS				1	0.5	0	0	0	0.333333333
320.66794 Mixed On				0	0.5	0	0	1	0.5
321.863939 ##DATA UPLOADING				0	0.333333333	0	0	1	0.666666667
322.05554 ##DATA UPLOAD SUCCESS				0	0.166666667	0	0	1	0.833333333
325.040124 ##DATA UPLOADING				0	0	0	0	1	1
325.403062 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
328.232121 ##DATA UPLOADING				0	0	0	0	1	1
328.442284 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
331.423391 ##DATA UPLOADING				0	0	0	0	1	1
331.703986 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
334.604074 ##DATA UPLOADING				0	0	0	0	1	1
334.783073 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
337.79415 ##DATA UPLOADING				0	0	0	0	1	1
338.049548 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
340.981149 ##DATA UPLOADING				0	0	0	0	1	1
341.178435 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
344.175594 ##DATA UPLOADING				0	0	0	0	1	1
344.439255 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
347.354181 ##DATA UPLOADING				0	0	0	0	1	1
347.563899 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
350.544985 ##DATA UPLOADING				0	0.166666667	0	0	1	0.833333333
350.855229 ##DATA UPLOAD SUCCESS				0	0.333333333	0	0	1	0.666666667
350.987945 Mixed Off				1	0.5	0	0	0	0.5
353.73456 ##DATA UPLOADING				1	0.666666667	0	0	0	0.333333333
353.903035 ##DATA UPLOAD SUCCESS				1	0.833333333	0	0	0	0.166666667
356.916454 ##DATA UPLOADING				1	1	0	0	0	0
357.197206 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
360.106016 ##DATA UPLOADING				1	1	0	0	0	0
360.332955 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
363.294135 ##DATA UPLOADING				1	1	0	0	0	0
363.616146 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
366.486024 ##DATA UPLOADING				1	1	0	0	0	0
366.726679 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
369.665476 ##DATA UPLOADING				1	1	0	0	0	0
369.992366 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
372.860223 ##DATA UPLOADING				1	0.833333333	0	0	0	0.166666667
373.07059 ##DATA UPLOAD SUCCESS				1	0.666666667	0	0	0	0.333333333
373.655275 Mixed On				0	0.5	0	0	1	0.5
